AList,TimeListExp,TimeListImp,SpeedUpList
100,0.04639153,0.169790654,0.2732278185347
200,0.079884795,0.225629551,0.354052891768596
300,0.132844062,0.26986628,0.492258840193002
400,0.40751675,0.348683489,1.16872970145139
500,0.610821736,0.403567527,1.51355521724125
600,0.967650598,0.454833875,2.12748137548022
700,1.39878227,0.518164219,2.69949606458643
800,2.173910418,0.587632675,3.69943760870683
900,2.921084244,0.640149823,4.56312591060421
1000,3.517937857,0.706462466,4.97965288505504
1100,3.547040965,0.768060059,4.61818177294388
1200,4.20861935,0.852457012,4.93704584601388
1300,4.867407375,0.921095038,5.28437042237112
1400,6.490425495,0.950242048,6.83028656610237
1500,7.429907867,1.031561629,7.20258262630666
1600,8.488011237,1.169575827,7.25734154302079
1700,9.666685074,1.203805452,8.03010574336558
1800,10.845327973,1.323933563,8.19174638070566
1900,12.306118838,1.36933308,8.98694336515992
2000,13.378118414,1.502453936,8.90417875280537
2100,14.727917006,1.568687825,9.38868573548086
2200,16.039761973,1.632303847,9.82645602562254
2300,17.565797316,1.938262877,9.06264961499337
2400,19.039267971,1.89933275,10.0241876895978
2500,21.17423046,2.083849655,10.161112347618
